,time,Voltage.RGAS,Voltage.RVL
0,0,-0.0911331177,0.0007629395
1,0.001,-0.1220321655,0.0177383423
2,0.002,-0.0959014893,0.0143051147
3,0.003,-0.049171447800000004,-0.0001907349
4,0.004,-0.0116348267,0.0077819824
5,0.005,0.0293731689,-0.0008773804
6,0.006,0.0465774536,-0.007019043000000001
7,0.007,0.036239624000000005,-0.0008010864
8,0.008,0.0252532959,0.0068664551
9,0.009000000000000001,0.020828247100000002,0.0049972534
10,0.01,0.0214004517,0.0081253052
11,0.011,0.006904602100000001,-0.0065612793
12,0.012,-0.0048446655,-0.0007629395
13,0.013000000000000001,-0.0184249878,-0.0022125244
14,0.014,-0.0043487549000000006,0.0062942505
15,0.015,0.0011444092,0.0038146973000000002
16,0.016,0.0077056885,-0.0019454956
17,0.017,0.0165557861,-0.0014495850000000002
18,0.018000000000000002,0.014915466300000001,-0.0025177002
19,0.019,-0.0025177002,0.0016784668
20,0.02,-0.016746521,0.0142669678
21,0.021,-0.012512207000000001,0.015296936
22,0.022,0.0095748901,-0.0004577637
23,0.023,0.022315979,-0.0002670288
24,0.024,0.0199508667,-0.0040054321
25,0.025,-0.0051879883,-0.0057220459
26,0.026000000000000002,-0.023193359400000002,0.0012207031
27,0.027,-0.0260543823,0.018386840800000002
28,0.028,0.0020217896,0.006523132300000001
29,0.029,0.049171447800000004,0.004959106400000001
30,0.03,0.048789978000000005,-0.0042724609
31,0.031,0.020980835,-0.0057983398
32,0.032,-0.0142288208,-0.0101089478
33,0.033,-0.05027771,0.0007247925
34,0.034,-0.0527572632,0.002746582
35,0.035,-0.0512695312,-0.0070571899
36,0.036000000000000004,-0.0476074219,-0.0047302246
37,0.037,-0.0395584106,-0.0030136108
38,0.038,-0.030632019000000003,-0.00831604
39,0.039,0.0062179565,-0.0074386597
40,0.04,0.033531189,0.007095336900000001
41,0.041,0.037651062,0.006523132300000001
42,0.042,0.0408554077,0.0076675415000000005
43,0.043000000000000003,0.0113677979,-0.0040054321
44,0.044,-0.0317764282,-0.0043106079
45,0.045,-0.0539779663,-0.0212478638
46,0.046,-0.0452041626,-0.0087738037
47,0.047,-0.0383377075,-0.0051879883
48,0.048,-0.0210571289,-0.0079345703
49,0.049,-0.0354766846,-0.0068664551
50,0.05,-0.0656890869,-0.0086593628
51,0.051000000000000004,-0.0534439087,-0.0141525269
52,0.052000000000000005,-0.0564956665,-0.0089645386
53,0.053,-0.0733184814,0.0009536743
54,0.054,-0.0514984131,-0.0001907349
55,0.055,0.0363922119,0.0017166138000000001
56,0.056,0.1024627686,-0.0031661987
57,0.057,0.1070022583,-0.0032806396000000003
58,0.058,0.0646209717,-0.0067901611
59,0.059000000000000004,0.040245056200000004,0.0065612793
60,0.06,0.016708374,0.0031280518
61,0.061,0.0147628784,0.0029754639
62,0.062,-0.0017166138000000001,-0.0053024292
63,0.063,-0.0082397461,-0.0024795532000000003
64,0.064,-0.0108337402,-0.010757446300000001
65,0.065,-0.024871826200000002,-0.0032424927000000003
66,0.066,-0.0542831421,-0.002822876
67,0.067,-0.059776306200000004,-0.00015258790000000002
68,0.068,-0.029830932600000002,-0.0102615356
69,0.069,-0.014076232900000001,-0.0040817261
70,0.07,0.0318145752,-0.013961792
71,0.07100000000000001,0.0368118286,-0.009803772
72,0.07200000000000001,0.0473403931,0.0037002563
73,0.073,0.0343704224,0.0146865845
74,0.074,0.016441345200000002,0.0032043457
75,0.075,-0.0165557861,-0.0075531006
76,0.076,-0.0110626221,-0.0038528442000000003
77,0.077,0.001411438,-0.0025939941
78,0.078,0.0001144409,-0.006942749000000001
79,0.079,-0.0215530396,0.0094985962
80,0.08,-0.0193405151,-0.0058364868
81,0.081,0.0040817261,-0.0019836426
82,0.082,0.0003433228,-0.0146865845
83,0.083,0.0138092041,-0.016784668000000003
84,0.084,0.008392334000000001,-0.0135421753
85,0.085,0.0090026855,0.0012969971
86,0.08600000000000001,0.0064468384,0.005340576200000001
87,0.08700000000000001,0.015258789100000001,-0.0050354004
88,0.088,0.0040817261,-0.0034332275000000002
89,0.089,0.006980896,-0.011177063000000001
90,0.09,0.0023651123,-0.0099182129
91,0.091,-0.0046920776,-0.0040817261
92,0.092,-0.0086593628,0.0072097778
93,0.093,-0.0077438354,0.0009918213
94,0.094,-0.0563430786,-0.0034713745000000003
95,0.095,-0.090675354,0.0057601929
96,0.096,-0.0423431396,-0.0007247925
97,0.097,0.0275802612,-0.01121521
98,0.098,0.0431442261,0.0049209595000000005
99,0.099,0.0277709961,0.0051116943000000005
100,0.1,0.0429534912,0.0047683716
101,0.101,0.0806045532,0.0045776367
102,0.10200000000000001,0.0751876831,0.0033950806
103,0.10300000000000001,0.0496673584,-0.0008773804
104,0.10400000000000001,0.0081634521,0.0038146973000000002
105,0.105,-0.007858276400000001,0.0062179565
106,0.106,0.0113296509,0.0033187866
107,0.107,0.0263595581,0.0046157837
108,0.108,0.00415802,0.0011444092
109,0.109,-0.0226211548,-0.002746582
110,0.11,-0.0407409668,-0.0103378296
111,0.111,-0.028991699200000002,0.0080871582
112,0.112,-0.0054168701,0.009117126500000001
113,0.113,-0.0095748901,0.0046157837
114,0.114,-0.0173950195,-0.0011444092
115,0.115,-0.0397872925,-0.0056838989000000005
116,0.116,-0.0590133667,-0.0025558472
117,0.117,-0.0626373291,-0.0054931641000000005
118,0.11800000000000001,-0.0253295898,-0.0023651123
119,0.11900000000000001,0.0193023682,-0.0020599365000000002
120,0.12,0.0541305542,-0.0033950806
121,0.121,0.0384902954,-0.0143432617
122,0.122,0.0511932373,-0.0108337402
123,0.123,0.0662612915,-0.0077819824
124,0.124,0.052680969200000004,-0.0018310547000000002
125,0.125,0.012512207000000001,-0.006980896
126,0.126,-0.0085830688,-0.0074768066
127,0.127,-0.018730163600000002,-0.0094604492
128,0.128,-0.0239181519,-0.0085449219
129,0.129,-0.010757446300000001,-0.0077056885
130,0.13,-0.0225448608,-0.0049972534
131,0.131,-0.0299072266,0.0074005127
132,0.132,-0.0207901001,-0.001411438
133,0.133,0.0040435791,-0.0022125244
134,0.134,0.0171279907,-0.0034713745000000003
135,0.135,0.021934509300000002,-0.0056838989000000005
136,0.136,0.0172424316,-0.012207031200000001
137,0.137,0.0089645386,-0.0017166138000000001
138,0.138,-0.0033569336,0.0025939941
139,0.139,0.0128936768,-0.0048828125
140,0.14,0.0064086914,-0.0099945068
141,0.14100000000000001,0.0037002563,-0.0085067749
142,0.14200000000000002,-0.0090408325,-0.0033569336
143,0.14300000000000002,-0.0129699707,-0.0028610229000000003
144,0.14400000000000002,-0.0201416016,0.0064849854000000005
145,0.145,-0.006332397500000001,0.0015258789000000001
146,0.146,0.0147247314,-0.0059127808000000006
147,0.147,0.0156402588,-0.0074005127
148,0.148,0.0033950806,-0.0030136108
149,0.149,-0.0019836426,-0.0112533569
150,0.15,-0.004196167000000001,0.0036621094000000003
151,0.151,-0.0050354004,0.005607605000000001
152,0.152,0.005569458,0.0035095215
153,0.153,-0.0057983398,0.0032043457
154,0.154,-0.0112533569,-0.0012588501
155,0.155,-0.020942688,-0.0004577637
156,0.156,-0.019149780300000002,0.0012969971
157,0.157,-0.0147628784,-0.0019836426
158,0.158,0.0019073486,-0.0011062622
159,0.159,0.0030899048,-0.0006484985
160,0.16,0.0054931641000000005,-0.0050354004
161,0.161,-0.0060653687000000005,-0.0043869019
162,0.162,-0.0044631958,-0.0093841553
163,0.163,-0.009803772,0.0037002563
164,0.164,-0.0033569336,0.007858276400000001
165,0.165,0.0159072876,0.002746582
166,0.166,0.0094985962,-0.0012588501
167,0.167,0.0017547607,-0.0038909912
168,0.168,0.0063705444,-0.008354187
169,0.169,-0.0039672852,0.0009155273000000001
170,0.17,-0.005569458,0.0068283081
171,0.171,-0.002822876,0.005950927700000001
172,0.17200000000000001,0.0163269043,-0.0081634521
173,0.17300000000000001,0.009765625,-0.002784729
174,0.17400000000000002,-0.0001907349,-0.007019043000000001
175,0.17500000000000002,-0.0038528442000000003,-0.0081253052
176,0.176,-0.0020217896,0.0053787231
177,0.177,-0.0024795532000000003,0.011291503900000001
178,0.178,0.008354187,0.0021362305
179,0.179,0.0109100342,0.0059890747
180,0.18,-0.0004959106,-0.0076675415000000005
181,0.181,0.00030517580000000003,-0.0099563599
182,0.182,-0.0042724609,0.0077056885
183,0.183,-0.0025558472,0.0072860718
184,0.184,0.00415802,0.0004196167
185,0.185,0.008888244600000001,0.0003433228
186,0.186,0.0055313110000000006,-0.0024032593
187,0.187,0.0014495850000000002,-0.0060272217
188,0.188,-0.004196167000000001,-0.0074768066
189,0.189,-0.0015640259,0.0047683716
190,0.19,-0.0109481812,0.0137329102
191,0.191,0.0068283081,-0.0012588501
192,0.192,0.01121521,0.0028610229000000003
193,0.193,0.0052642822,-0.0031661987
194,0.194,0.0021362305,-0.0092315674
195,0.195,-0.0059890747,0.00415802
196,0.196,-0.011100769,0.009307861300000001
197,0.197,-0.0049209595000000005,0.0010681152
198,0.198,0.005569458,0.0013351440000000001
199,0.199,0.0040817261,-0.0019073486
200,0.2,0.004234314,0.0005340576
201,0.201,-0.0015640259,-0.0028610229000000003
202,0.202,-0.0000762939,-0.0010299683000000001
203,0.203,-0.0077056885,-0.0025939941
204,0.20400000000000001,0.0019073486,-0.0014495850000000002
205,0.20500000000000002,0.010757446300000001,-0.0048065186
206,0.20600000000000002,0.0060272217,-0.0051116943000000005
207,0.20700000000000002,-0.0016021729,-0.005607605000000001
208,0.20800000000000002,-0.006523132300000001,0.0009155273000000001
209,0.209,-0.0042724609,0.0185394287
210,0.21,0.0010681152,0.0047683716
211,0.211,0.0074768066,0.0004196167
212,0.212,0.0096511841,-0.0037002563
213,0.213,-0.0001144409,-0.0090789795
214,0.214,0.0009155273000000001,-0.0120544434
215,0.215,-0.0025558472,-0.0016784668
216,0.216,-0.0068283081,0.0290298462
217,0.217,0.0093460083,0.03490448
218,0.218,0.0123596191,0.0220870972
219,0.219,-0.0018692017,0.0276947021
220,0.22,0.0030899048,0.0076675415000000005
221,0.221,-0.0053787231,0.0057983398
222,0.222,-0.0016784668,0.0099945068
223,0.223,-0.0030136108,0.0053024292
224,0.224,0.014419555700000001,-0.0106048584
225,0.225,0.0101852417,-0.0172424316
226,0.226,-0.0051116943000000005,0.011711120600000001
227,0.227,-0.0021743774,0.020484924300000002
228,0.228,-0.0049209595000000005,0.0425338745
229,0.229,-0.0064086914,0.0262451172
230,0.23,0.008468627900000001,0.0034713745000000003
231,0.231,0.012207031200000001,-0.0000762939
232,0.232,0.0030136108,-0.0042724609
233,0.233,-0.0017547607,-0.0119018555
234,0.234,-0.008430481,-0.0179290771
235,0.23500000000000001,-0.00415802,-0.0155639648
236,0.23600000000000002,0.0047683716,-0.0302124023
237,0.23700000000000002,0.0091552734,-0.036201477100000004
238,0.23800000000000002,0.0046920776,-0.05443573
239,0.23900000000000002,0.0025939941,-0.0761413574
240,0.24,0.00415802,-0.0692367554
241,0.241,-0.0015258789000000001,-0.038032531700000004
242,0.242,-0.004196167000000001,-0.0259017944
243,0.243,0.008697509800000001,-0.0179290771
244,0.244,0.0070571899,-0.0163650513
245,0.245,-0.0002670288,-0.0074768066
246,0.246,0.0045394897000000005,0.0009155273000000001
247,0.247,-0.002784729,0.0059890747
248,0.248,-0.009765625,0.0151824951
249,0.249,-0.0004196167,0.002822876
250,0.25,0.0105667114,0.0065994263
251,0.251,0.0044631958,0.0104904175
252,0.252,-0.0077056885,0.011138916
253,0.253,-0.0008773804,0.0039291382000000005
254,0.254,-0.0018692017,0.0054931641000000005
255,0.255,-0.0051879883,-0.015411377
256,0.256,-0.0016021729,-0.041809082000000004
257,0.257,0.0090026855,-0.0591659546
258,0.258,0.0071716309,-0.0481414795
259,0.259,-0.0007247925,-0.045166015600000005
260,0.26,0.0000762939,-0.0285339355
261,0.261,-0.0075531006,0.0017929077
262,0.262,0.0021743774,0.0118637085
263,0.263,0.009117126500000001,0.015029907200000001
264,0.264,0.0022506714000000002,0.0164794922
265,0.265,0.0017166138000000001,0.024032592800000002
266,0.266,-0.0000762939,0.0242996216
267,0.267,0.0008010864,0.042915344200000004
268,0.268,0.0015258789000000001,0.0537490845
269,0.269,0.0037765503,0.0562667847
270,0.27,0.0077056885,0.0617980957
271,0.271,0.0061798096,0.061912536600000005
272,0.272,0.0028610229000000003,0.0587463379
273,0.273,0.0030136108,0.059661865200000004
274,0.274,0.0038146973000000002,0.057220459
275,0.275,-0.0014877319,0.0547027588
276,0.276,0.0041198730000000005,0.053024292
277,0.277,0.0025558472,0.0529098511
278,0.278,-0.0008010864,0.047378540000000004
279,0.279,0.0010299683000000001,0.0512695312
280,0.28,-0.0043869019,0.0480270386
