,time,Force.Fz1,Force.Fz4
0,0.0,0.0,-16.1177921295
1,0.001,0.0,-16.8472537994
2,0.002,0.0,-16.3728981018
3,0.003,0.0,-16.2854213715
4,0.004,0.0,-16.255273819
5,0.005,0.0,-14.9241218567
6,0.006,0.0,-15.1861257553
7,0.007,0.0,-16.5063552856
8,0.008,0.0,-16.6859474182
9,0.009,0.0,-16.7560062408
10,0.01,0.0,-15.8497438431
11,0.011,0.0,-16.4907588959
12,0.012,0.0,-16.4365749359
13,0.013,0.0,-15.7840709686
14,0.014,0.0,-16.5967769623
15,0.015,0.0,-15.2519416809
16,0.016,0.0,-15.4068202972
17,0.017,0.0,-14.5715141296
18,0.018,0.0,-15.950334549
19,0.019,0.0,-16.3622016907
20,0.02,0.0,-16.9203796387
21,0.021,0.0,-15.1168489456
22,0.022,10.4463605881,-16.7303142548
23,0.023,0.0,-16.1731853485
24,0.024,0.0,-17.8420944214
25,0.025,0.0,-15.8440523148
26,0.026,0.0,-15.9434566498
27,0.027,0.0,-17.1983776093
28,0.028,0.0,-15.0478658676
29,0.029,0.0,-16.683057785
30,0.03,0.0,-15.6728610992
31,0.031,0.0,-15.3239135742
32,0.032,0.0,-15.765914917
33,0.033,0.0,-16.468662262
34,0.034,0.0,-14.6331634521
35,0.035,0.0,-16.4906711578
36,0.036,0.0,-17.3161849976
37,0.037,0.0,-15.7981624603
38,0.038,0.0,-15.6761693954
39,0.039,0.0,-16.1374416351
40,0.04,0.0,-15.359377861
41,0.041,0.0,-16.7401332855
42,0.042,0.0,-15.0493469238
43,0.043,0.0,-17.4701480865
44,0.044,0.0,-16.2978477478
45,0.045,0.0,-15.5987262726
46,0.046,0.0,-17.0564041138
47,0.047,13.4939479828,-15.4232349396
48,0.048,0.0,-16.1030788422
49,0.049,0.0,-16.2066307068
50,0.05,0.0,-16.1097316742
51,0.051,0.0,-15.2005271912
52,0.052,0.0,-17.1099948883
53,0.053,0.0,-17.373260498
54,0.054,0.0,-15.5245704651
55,0.055,0.0,-16.518819809
56,0.056,0.0,-15.3271331787
57,0.057,0.0,-15.7684402466
58,0.058,0.0,-14.3812847137
59,0.059,0.0,-16.3236579895
60,0.06,0.0,-16.6918888092
61,0.061,0.0,-17.0179653168
62,0.062,0.0,-16.267414093
63,0.063,11.5037908554,-15.7484111786
64,0.064,0.0,-16.382019043
65,0.065,0.0,-16.5766506195
66,0.066,0.0,-15.3416948318
67,0.067,0.0,-16.4752082825
68,0.068,10.2519788742,-15.7648706436
69,0.069,0.0,-15.4726362228
